x,y,z,s
5.000000,4.000000,-5.000000,6
3.647242,4.109019,-5.000000,6
4.203925,3.361398,-5.000000,6
-0.065795,1.627180,5.000000,6
0.442281,0.823558,5.000000,6
-0.712443,0.586790,5.000000,6
4.000000,5.000000,-5.000000,6
5.000000,5.000000,-5.000000,6
5.000000,5.000000,-4.000000,6
2.564685,4.121264,-5.000000,6
3.228079,3.116100,-5.000000,6
3.647242,4.109019,-5.000000,6
-3.000000,5.000000,5.000000,6
-2.499807,4.165250,5.000000,6
-3.360279,4.209388,5.000000,6
-5.000000,-2.012558,3.338900,6
-5.000000,-2.493889,4.166907,6
-5.000000,-3.113668,3.228546,6
5.000000,4.000000,-5.000000,6
5.000000,5.000000,-5.000000,6
4.000000,5.000000,-5.000000,6
3.327020,-5.000000,-1.009352,6
4.175168,-5.000000,-0.500469,6
4.173866,-5.000000,-1.501121,6
5.000000,-3.117671,3.227639,6
5.000000,-3.359434,4.210324,6
5.000000,-2.494818,4.166241,6
1.135961,5.000000,1.639129,6
0.525551,5.000000,2.514125,6
0.060818,5.000000,1.640317,6
-5.000000,-0.425959,-0.820748,6
-5.000000,-0.039870,0.004370,6
-5.000000,-0.945498,-0.019586,6
5.000000,-4.000000,5.000000,6
5.000000,-4.113590,3.647375,6
5.000000,-5.000000,4.000000,6
5.000000,-1.576123,2.320082,6
5.000000,-2.498902,2.512368,6
5.000000,-2.022982,3.313284,6
0.000000,-5.000000,5.000000,6
-1.000000,-5.000000,5.000000,6
-0.501692,-4.174826,5.000000,6
0.000000,-5.000000,5.000000,6
-1.000000,-5.000000,5.000000,6
-0.500609,-5.000000,4.174824,6
5.000000,5.000000,5.000000,6
5.000000,4.000000,5.000000,6
4.000000,5.000000,5.000000,6
5.000000,5.000000,5.000000,6
5.000000,4.000000,5.000000,6
5.000000,5.000000,4.000000,6
5.000000,5.000000,5.000000,6
4.000000,5.000000,5.000000,6
5.000000,5.000000,4.000000,6
-2.510405,-5.000000,0.530612,6
-2.488237,-5.000000,1.578152,6
-1.631638,-5.000000,1.139792,6
0.442281,0.823558,5.000000,6
0.962766,0.034503,5.000000,6
0.077492,-0.027711,5.000000,6
5.000000,2.061458,-3.295376,6
5.000000,1.577119,-2.487874,6
5.000000,2.515369,-2.495883,6
-0.425959,5.000000,-0.820748,6
0.722973,5.000000,-0.608404,6
-0.039870,5.000000,0.004370,6
-3.318792,5.000000,1.017369,6
-2.285489,5.000000,1.584335,6
-3.277340,5.000000,2.059183,6
-2.325531,-5.000000,-1.569567,6
-1.688750,-5.000000,-0.857425,6
-1.145885,-5.000000,-1.617647,6
-3.277340,5.000000,2.059183,6
-2.285489,5.000000,1.584335,6
-2.456930,5.000000,2.543603,6
-0.449033,5.000000,0.807413,6
-1.519537,5.000000,0.797140,6
-0.945498,5.000000,-0.019586,6
4.129491,5.000000,2.530624,6
3.148904,5.000000,3.193083,6
3.275632,5.000000,2.058675,6
-4.123203,5.000000,2.559679,6
-3.277340,5.000000,2.059183,6
-3.113668,5.000000,3.228546,6
-5.000000,3.225244,-3.117553,6
-5.000000,3.312505,-2.023062,6
-5.000000,2.508698,-2.498878,6
-0.618928,-5.000000,0.729086,6
0.074916,-5.000000,0.047328,6
-0.744092,-5.000000,-0.552443,6
-2.290938,-1.585466,-5.000000,6
-1.552488,-2.507478,-5.000000,6
-1.066144,-1.673400,-5.000000,6
5.000000,-0.618928,0.729086,6
5.000000,-0.744092,-0.552443,6
5.000000,-1.636508,0.078913,6
0.518348,-0.855782,-5.000000,6
-0.515674,-0.856184,-5.000000,6
0.003674,-1.697293,-5.000000,6
-2.564694,-4.123043,5.000000,6
-2.000000,-5.000000,5.000000,6
-3.000000,-5.000000,5.000000,6
-2.000000,-5.000000,5.000000,6
-3.000000,-5.000000,5.000000,6
-2.494818,-5.000000,4.166241,6
4.128684,-2.535462,-5.000000,6
4.163817,-1.511038,-5.000000,6
3.278548,-2.057893,-5.000000,6
-5.000000,1.000000,-5.000000,6
-5.000000,1.511061,-4.166067,6
-5.000000,0.502083,-4.174415,6
5.000000,-1.688750,-0.857425,6
5.000000,-0.744092,-0.552443,6
5.000000,-1.145885,-1.617647,6
5.000000,2.061458,-3.295376,6
5.000000,2.515369,-2.495883,6
5.000000,3.228824,-3.116051,6
-5.000000,-4.000000,5.000000,6
-5.000000,-5.000000,4.000000,6
-5.000000,-4.107260,3.648760,6
-4.172233,-1.501971,5.000000,6
-5.000000,-2.000000,5.000000,6
-5.000000,-1.000000,5.000000,6
-5.000000,-2.000000,5.000000,6
-5.000000,-1.000000,5.000000,6
-5.000000,-1.499889,4.175525,6
1.142572,5.000000,-1.628115,6
0.093645,5.000000,-1.634091,6
0.535895,5.000000,-2.505740,6
-2.285489,5.000000,1.584335,6
-1.519537,5.000000,0.797140,6
-1.046287,5.000000,1.662347,6
-5.000000,2.559420,-4.124313,6
-5.000000,3.225244,-3.117553,6
-5.000000,2.055318,-3.300230,6
2.059007,3.280570,-5.000000,6
3.228079,3.116100,-5.000000,6
2.564685,4.121264,-5.000000,6
-5.000000,1.665890,0.006241,6
-5.000000,2.490148,0.502535,6
-5.000000,1.685712,0.881923,6
-5.000000,1.665890,0.006241,6
-5.000000,1.685712,0.881923,6
-5.000000,0.721037,0.620600,6
4.128684,-2.535462,-5.000000,6
5.000000,-2.000000,-5.000000,6
4.163817,-1.511038,-5.000000,6
2.525671,-4.158093,-5.000000,6
2.000000,-5.000000,-5.000000,6
3.000000,-5.000000,-5.000000,6
2.000000,-5.000000,-5.000000,6
3.000000,-5.000000,-5.000000,6
2.560776,-5.000000,-4.124001,6
-0.938487,1.632798,5.000000,6
-0.712443,0.586790,5.000000,6
-1.672829,1.085026,5.000000,6
-2.020007,-3.335323,-5.000000,6
-2.463015,-2.538776,-5.000000,6
-3.149809,-3.193562,-5.000000,6
-4.111674,5.000000,-3.649275,6
-3.115797,5.000000,-3.229348,6
-4.124007,5.000000,-2.560826,6
-5.000000,0.721037,0.620600,6
-5.000000,-0.449033,0.807413,6
-5.000000,-0.039870,0.004370,6
3.149645,-3.193396,-5.000000,6
4.128684,-2.535462,-5.000000,6
3.278548,-2.057893,-5.000000,6
4.172926,-1.501985,5.000000,6
5.000000,-2.000000,5.000000,6
4.163891,-2.500265,5.000000,6
3.648547,-4.107694,5.000000,6
2.559226,-4.124677,5.000000,6
3.226375,-3.117997,5.000000,6
5.000000,-4.166327,-2.493805,6
5.000000,-3.228169,-3.114574,6
5.000000,-4.204687,-3.360515,6
-0.712443,0.586790,5.000000,6
0.077492,-0.027711,5.000000,6
-0.638886,-0.689544,5.000000,6
-2.057881,-3.299711,5.000000,6
-1.578862,-2.492440,5.000000,6
-1.015416,-3.342720,5.000000,6
-5.000000,-1.519537,0.797140,6
-5.000000,-1.800681,-0.029880,6
-5.000000,-0.945498,-0.019586,6
2.494566,-5.000000,-0.489934,6
1.789591,-5.000000,0.004363,6
2.491851,-5.000000,0.492250,6
-2.564694,-4.123043,5.000000,6
-1.511811,-4.166036,5.000000,6
-2.000000,-5.000000,5.000000,6
0.445361,-5.000000,-0.784085,6
-0.744092,-5.000000,-0.552443,6
0.074916,-5.000000,0.047328,6
-5.000000,1.511061,-4.166067,6
-5.000000,2.055318,-3.300230,6
-5.000000,1.018400,-3.339817,6
-5.000000,-3.000000,-5.000000,6
-4.168902,-3.400752,-5.000000,6
-4.130008,-2.530903,-5.000000,6
-5.000000,2.000000,-5.000000,6
-5.000000,2.559420,-4.124313,6
-5.000000,1.511061,-4.166067,6
0.003264,5.000000,-3.345142,6
0.502083,5.000000,-4.174415,6
1.018400,5.000000,-3.339817,6
-5.000000,0.003264,-3.345142,6
-5.000000,1.018400,-3.339817,6
-5.000000,0.535895,-2.505740,6
-2.492219,1.578373,5.000000,6
-2.499356,2.513201,5.000000,6
-1.585738,2.313242,5.000000,6
-1.839448,0.022601,-5.000000,6
-1.604449,0.997373,-5.000000,6
-2.528686,0.509264,-5.000000,6
2.489159,1.561882,5.000000,6
1.573935,2.307945,5.000000,6
2.497684,2.504992,5.000000,6
-5.000000,1.585538,-2.486173,6
-5.000000,1.018400,-3.339817,6
-5.000000,2.055318,-3.300230,6
-4.166087,1.511590,-5.000000,6
-3.343778,1.012735,-5.000000,6
-3.300914,2.053806,-5.000000,6
4.000000,5.000000,-5.000000,6
5.000000,5.000000,-4.000000,6
3.648643,5.000000,-4.107469,6
-4.112224,3.648724,5.000000,6
-4.000000,5.000000,5.000000,6
-3.360279,4.209388,5.000000,6
-4.112224,3.648724,5.000000,6
-5.000000,4.000000,5.000000,6
-4.000000,5.000000,5.000000,6
5.000000,-5.000000,4.000000,6
5.000000,-5.000000,3.000000,6
4.162106,-5.000000,3.403106,6
5.000000,-5.000000,4.000000,6
5.000000,-5.000000,3.000000,6
5.000000,-4.113590,3.647375,6
-2.057881,-3.299711,5.000000,6
-1.511811,-4.166036,5.000000,6
-2.564694,-4.123043,5.000000,6
0.500461,-5.000000,4.175980,6
1.010070,-5.000000,3.346906,6
0.000495,-5.000000,3.346551,6
5.000000,-5.000000,4.000000,6
4.162106,-5.000000,3.403106,6
3.613185,-5.000000,4.143032,6
-2.057881,-3.299711,5.000000,6
-1.015416,-3.342720,5.000000,6
-1.511811,-4.166036,5.000000,6
1.577119,-5.000000,-2.487874,6
1.051700,-5.000000,-1.654239,6
2.302006,-5.000000,-1.569562,6
1.142572,5.000000,-1.628115,6
2.324306,5.000000,-1.574012,6
1.686503,5.000000,-0.877061,6
-4.174833,-0.500228,5.000000,6
-3.346345,0.002017,5.000000,6
-3.328410,-1.010263,5.000000,6
-5.000000,-2.000000,5.000000,6
-4.165285,-2.499841,5.000000,6
-5.000000,-3.000000,5.000000,6
-5.000000,-2.000000,5.000000,6
-5.000000,-3.000000,5.000000,6
-5.000000,-2.493889,4.166907,6
-3.118694,3.226801,5.000000,6
-3.300080,2.056581,5.000000,6
-4.125575,2.559162,5.000000,6
-5.000000,0.500424,4.176277,6
-5.000000,1.009220,3.348147,6
-5.000000,1.504406,4.173668,6
